type,title,image,url
book,Generative Gestaltung 2,generativegestaltung.png,https://www.generative-gestaltung.de/2/
archive,Virtual Math Museum,virtualmathmuseum.jpg,https://www.virtualmathmuseum.org
archive,Algorithmic Design in Architecture,parametric.jpg,http://parametric-design.blogspot.com/
archive,List of Physical Visualizations,physvis.jpg,http://dataphys.org/list/
archive,compArt database Digital Art (daDA),compart.jpg,http://dada.compart-bremen.de/browse/artwork
book,Code as a Creative Medium,codecreative.avif,https://mitpress.mit.edu/9780262542043/code-as-creative-medium/
book,The Nature of Code,naturecode.jpg,https://natureofcode.com/
book,Making with Data,makingdata.jpg,https://www.routledge.com/Making-with-Data-Physical-Design-and-Craft-in-a-Data-Driven-World/Huron-Nagel-Oehlberg-Willett/p/book/9781032182223
